date,postcode,New Cases in Last 3 Days,New Cases in Last 7 Days,Total Cases
2020-01-22T11:00:00.000+11:00,2297,0,0,0
2020-01-22T11:00:00.000+11:00,2108,0,0,0
2020-01-22T11:00:00.000+11:00,2048,0,0,0
2020-01-22T11:00:00.000+11:00,2320,0,0,0
2020-01-22T11:00:00.000+11:00,2768,0,0,0
2020-01-22T11:00:00.000+11:00,2226,0,0,0
2020-01-22T11:00:00.000+11:00,2199,0,0,0
2020-01-22T11:00:00.000+11:00,2528,0,0,0
2020-01-22T11:00:00.000+11:00,2287,0,0,0
2020-01-22T11:00:00.000+11:00,2074,0,0,0
2020-01-22T11:00:00.000+11:00,2487,0,0,0
2020-01-22T11:00:00.000+11:00,2444,0,0,0
2020-01-22T11:00:00.000+11:00,2251,0,0,0
2020-01-22T11:00:00.000+11:00,2484,0,0,0
2020-01-22T11:00:00.000+11:00,2779,0,0,0
2020-01-22T11:00:00.000+11:00,2155,0,0,0
2020-01-22T11:00:00.000+11:00,2085,0,0,0
2020-01-22T11:00:00.000+11:00,2278,0,0,0
2020-01-22T11:00:00.000+11:00,2066,0,0,0
2020-01-22T11:00:00.000+11:00,2519,0,0,0
2020-01-22T11:00:00.000+11:00,2203,0,0,0
2020-01-22T11:00:00.000+11:00,2162,0,0,0
2020-01-22T11:00:00.000+11:00,2421,0,0,0
2020-01-22T11:00:00.000+11:00,2264,0,0,0
2020-01-22T11:00:00.000+11:00,9999,0,0,0
2020-01-22T11:00:00.000+11:00,2525,0,0,0
2020-01-22T11:00:00.000+11:00,2084,0,0,0
2020-01-22T11:00:00.000+11:00,2305,0,0,0
2020-01-22T11:00:00.000+11:00,2194,0,0,0
2020-01-22T11:00:00.000+11:00,2460,0,0,0
2020-01-22T11:00:00.000+11:00,2086,0,0,0
2020-01-22T11:00:00.000+11:00,2037,0,0,0
2020-01-22T11:00:00.000+11:00,2759,0,0,0
2020-01-22T11:00:00.000+11:00,2150,0,0,0
2020-01-22T11:00:00.000+11:00,2210,0,0,0
2020-01-22T11:00:00.000+11:00,2111,0,0,0
2020-01-22T11:00:00.000+11:00,2343,0,0,0
2020-01-22T11:00:00.000+11:00,2500,0,0,0
2020-01-22T11:00:00.000+11:00,2197,0,0,0
2020-01-22T11:00:00.000+11:00,5158,0,0,0
2020-01-22T11:00:00.000+11:00,2316,0,0,0
2020-01-22T11:00:00.000+11:00,2261,0,0,0
2020-01-22T11:00:00.000+11:00,2102,0,0,0
2020-01-22T11:00:00.000+11:00,2140,0,0,0
2020-01-22T11:00:00.000+11:00,1871,0,0,0
2020-01-22T11:00:00.000+11:00,2131,0,0,0
2020-01-22T11:00:00.000+11:00,2612,0,0,0
2020-01-22T11:00:00.000+11:00,2427,0,0,0
2020-01-22T11:00:00.000+11:00,2770,0,0,0
2020-01-22T11:00:00.000+11:00,2527,0,0,0
2020-01-22T11:00:00.000+11:00,2315,0,0,0
2020-01-22T11:00:00.000+11:00,2106,0,0,0
2020-01-22T11:00:00.000+11:00,2508,0,0,0
2020-01-22T11:00:00.000+11:00,2322,0,0,0
2020-01-22T11:00:00.000+11:00,2321,0,0,0
2020-01-22T11:00:00.000+11:00,2259,0,0,0
2020-01-22T11:00:00.000+11:00,2190,0,0,0
2020-01-22T11:00:00.000+11:00,2060,0,0,0
2020-01-22T11:00:00.000+11:00,2107,0,0,0
2020-01-22T11:00:00.000+11:00,2529,0,0,0
2020-01-22T11:00:00.000+11:00,2560,0,0,0
2020-01-22T11:00:00.000+11:00,2340,0,0,0
2020-01-22T11:00:00.000+11:00,2490,0,0,0
2020-01-22T11:00:00.000+11:00,2541,0,0,0
2020-01-22T11:00:00.000+11:00,2621,0,0,0
2020-01-22T11:00:00.000+11:00,2548,0,0,0
2020-01-22T11:00:00.000+11:00,2291,0,0,0
2020-01-22T11:00:00.000+11:00,2558,0,0,0
2020-01-22T11:00:00.000+11:00,2565,0,0,0
2020-01-22T11:00:00.000+11:00,2620,0,0,0
2020-01-22T11:00:00.000+11:00,2750,0,0,0
2020-01-22T11:00:00.000+11:00,2536,0,0,0
2020-01-22T11:00:00.000+11:00,2147,0,0,0
2020-01-22T11:00:00.000+11:00,2546,0,0,0
2020-01-22T11:00:00.000+11:00,2219,0,0,0
2020-01-22T11:00:00.000+11:00,2038,0,0,0
2020-01-22T11:00:00.000+11:00,2357,0,0,0
2020-01-22T11:00:00.000+11:00,2280,0,0,0
2020-01-22T11:00:00.000+11:00,2564,0,0,0
2020-01-22T11:00:00.000+11:00,2262,0,0,0
2020-01-22T11:00:00.000+11:00,2256,0,0,0
2020-01-22T11:00:00.000+11:00,2208,0,0,0
2020-01-22T11:00:00.000+11:00,2439,0,0,0
2020-01-22T11:00:00.000+11:00,2092,0,0,0
2020-01-22T11:00:00.000+11:00,2159,0,0,0
2020-01-22T11:00:00.000+11:00,2463,0,0,0
2020-01-22T11:00:00.000+11:00,2220,0,0,0
2020-01-22T11:00:00.000+11:00,2152,0,0,0
2020-01-22T11:00:00.000+11:00,2205,0,0,0
2020-01-22T11:00:00.000+11:00,2227,0,0,0
2020-01-22T11:00:00.000+11:00,2148,0,0,0
2020-01-22T11:00:00.000+11:00,2641,0,0,0
2020-01-22T11:00:00.000+11:00,2009,0,0,0
2020-01-22T11:00:00.000+11:00,7320,0,0,0
2020-01-22T11:00:00.000+11:00,2017,0,0,0
2020-01-22T11:00:00.000+11:00,2094,0,0,0
2020-01-22T11:00:00.000+11:00,2443,0,0,0
2020-01-22T11:00:00.000+11:00,2539,0,0,0
2020-01-22T11:00:00.000+11:00,2477,0,0,0
2020-01-22T11:00:00.000+11:00,2016,0,0,0
2020-01-22T11:00:00.000+11:00,2324,0,0,0
2020-01-22T11:00:00.000+11:00,2480,0,0,0
2020-01-22T11:00:00.000+11:00,2753,0,0,0
2020-01-22T11:00:00.000+11:00,2799,0,0,0
2020-01-22T11:00:00.000+11:00,2213,0,0,0
2020-01-22T11:00:00.000+11:00,2476,0,0,0
2020-01-22T11:00:00.000+11:00,2282,0,0,0
2020-01-22T11:00:00.000+11:00,2465,0,0,0
2020-01-22T11:00:00.000+11:00,2290,0,0,0
2020-01-22T11:00:00.000+11:00,2304,0,0,0
2020-01-22T11:00:00.000+11:00,2431,0,0,0
2020-01-22T11:00:00.000+11:00,2515,0,0,0
2020-01-22T11:00:00.000+11:00,2103,0,0,0
2020-01-22T11:00:00.000+11:00,2360,0,0,0
2020-01-22T11:00:00.000+11:00,2345,0,0,0
2020-01-22T11:00:00.000+11:00,2211,0,0,0
2020-01-22T11:00:00.000+11:00,2156,0,0,0
2020-01-22T11:00:00.000+11:00,2154,0,0,0
2020-01-22T11:00:00.000+11:00,2486,0,0,0
2020-01-22T11:00:00.000+11:00,2007,0,0,0
2020-01-22T11:00:00.000+11:00,2135,0,0,0
2020-01-22T11:00:00.000+11:00,2050,0,0,0
2020-01-22T11:00:00.000+11:00,2035,0,0,0
2020-01-22T11:00:00.000+11:00,2173,0,0,0
2020-01-22T11:00:00.000+11:00,2285,0,0,0
2020-01-22T11:00:00.000+11:00,2172,0,0,0
2020-01-22T11:00:00.000+11:00,2212,0,0,0
2020-01-22T11:00:00.000+11:00,2318,0,0,0
2020-01-22T11:00:00.000+11:00,2448,0,0,0
2020-01-22T11:00:00.000+11:00,2478,0,0,0
2020-01-22T11:00:00.000+11:00,2330,0,0,0
2020-01-22T11:00:00.000+11:00,2299,0,0,0
2020-01-22T11:00:00.000+11:00,2323,0,0,0
2020-01-22T11:00:00.000+11:00,2783,0,0,0
2020-01-22T11:00:00.000+11:00,2790,0,0,0
2020-01-22T11:00:00.000+11:00,2830,0,0,0
2020-01-22T11:00:00.000+11:00,2774,0,0,0
2020-01-22T11:00:00.000+11:00,2850,0,0,0
2020-01-22T11:00:00.000+11:00,2300,0,0,0
2020-01-22T11:00:00.000+11:00,2786,0,0,0
2020-01-22T11:00:00.000+11:00,2079,0,0,0
2020-01-22T11:00:00.000+11:00,2327,0,0,0
2020-01-22T11:00:00.000+11:00,2317,0,0,0
2020-01-22T11:00:00.000+11:00,2650,0,0,0
2020-01-22T11:00:00.000+11:00,2289,0,0,0
2020-01-22T11:00:00.000+11:00,2745,0,0,0
2020-01-22T11:00:00.000+11:00,2062,0,0,0
2020-01-22T11:00:00.000+11:00,2446,0,0,0
2020-01-22T11:00:00.000+11:00,2164,0,0,0
2020-01-22T11:00:00.000+11:00,2640,0,0,0
2020-01-22T11:00:00.000+11:00,2643,0,0,0
2020-01-22T11:00:00.000+11:00,2209,0,0,0
2020-01-22T11:00:00.000+11:00,2526,0,0,0
2020-01-22T11:00:00.000+11:00,2223,0,0,0
2020-01-22T11:00:00.000+11:00,2286,0,0,0
2020-01-22T11:00:00.000+11:00,2646,0,0,0
2020-01-22T11:00:00.000+11:00,2866,0,0,0
2020-01-22T11:00:00.000+11:00,2680,0,0,0
2020-01-22T11:00:00.000+11:00,2590,0,0,0
2020-01-22T11:00:00.000+11:00,2758,0,0,0
2020-01-22T11:00:00.000+11:00,2550,0,0,0
2020-01-22T11:00:00.000+11:00,2335,0,0,0
2020-01-22T11:00:00.000+11:00,2263,0,0,0
2020-01-22T11:00:00.000+11:00,2644,0,0,0
2020-01-22T11:00:00.000+11:00,2660,0,0,0
2020-01-22T11:00:00.000+11:00,2044,0,0,0
2020-01-22T11:00:00.000+11:00,2569,0,0,0
2020-01-22T11:00:00.000+11:00,2450,0,0,0
2020-01-22T11:00:00.000+11:00,2309,0,0,0
2020-01-22T11:00:00.000+11:00,2284,0,0,0
2020-01-22T11:00:00.000+11:00,2631,0,0,0
2020-01-22T11:00:00.000+11:00,2820,0,0,0
2020-01-22T11:00:00.000+11:00,2333,0,0,0
2020-01-22T11:00:00.000+11:00,2821,0,0,0
2020-01-22T11:00:00.000+11:00,2754,0,0,0
2020-01-22T11:00:00.000+11:00,2757,0,0,0
2020-01-22T11:00:00.000+11:00,2337,0,0,0
2020-01-22T11:00:00.000+11:00,2371,0,0,0
2020-01-22T11:00:00.000+11:00,2810,0,0,0
2020-01-22T11:00:00.000+11:00,2780,0,0,0
2020-01-22T11:00:00.000+11:00,2440,0,0,0
2020-01-22T11:00:00.000+11:00,2824,0,0,0
2020-01-22T11:00:00.000+11:00,2582,0,0,0
2020-01-22T11:00:00.000+11:00,2630,0,0,0
2020-01-22T11:00:00.000+11:00,2138,0,0,0
2020-01-22T11:00:00.000+11:00,2571,0,0,0
2020-01-22T11:00:00.000+11:00,2178,0,0,0
